idx,image,exact,canonical_exact,edit_similarity,error_type,ref_len,pred_len,ref,pred,ref_canonical,pred_canonical
10,2c65d65f05.png,1,1,100.0,exact,95,95,"\varphi^{\prime\prime}+{\frac{1}{r}}\varphi^{\prime}+\lambda\left(\varphi-\varphi^{3}\right)=0,","\varphi^{\prime\prime}+{\frac{1}{r}}\varphi^{\prime}+\lambda\left(\varphi-\varphi^{3}\right)=0,","\varphi^{\prime\prime+\frac{1}{r}\varphi^{\prime+\lambda(\varphi-\varphi^{3)=0,","\varphi^{\prime\prime+\frac{1}{r}\varphi^{\prime+\lambda(\varphi-\varphi^{3)=0,"
11,3bea2f425a.png,1,1,100.0,exact,88,88,"x^{N}+y^{N}=z^{N},~~\Phi(l)=\omega^{l(l+N)/2},~~\omega^{1/2}=\operatorname{exp}(\pii/N).","x^{N}+y^{N}=z^{N},~~\Phi(l)=\omega^{l(l+N)/2},~~\omega^{1/2}=\operatorname{exp}(\pii/N).","x^{N+y^{N=z^{N,~~\Phi(l)=\omega^{l(l+N)/2,~~\omega^{1/2=\operatorname{exp}(\pii/N).","x^{N+y^{N=z^{N,~~\Phi(l)=\omega^{l(l+N)/2,~~\omega^{1/2=\operatorname{exp}(\pii/N)."
12,3e3f5d7c1f.png,0,0,97.248,almost_correct,109,107,{e_{\hat{\mu}}^{\hat{m}}=\left(\begin{array}{ll}{e_{\sigma}^{s}}&{0}\{0}&{e_{\alpha}^{a}}\\end{array}\right)},e_{\hat{\mu}}^{\hat{n}}=\left(\begin{array}{ll}{e_{\sigma}^{s}}&{0}\{0}&{e_{\alpha}^{a}}\\end{array}\right),e_\hat\mu^\hat{m=(\begin{array}{ll}{e_\sigma^{s}&{0}\{0}&{e_\alpha^{a}\\end{array),e_\hat\mu^\hat{n=(\begin{array}{ll}{e_\sigma^{s}&{0}\{0}&{e_\alpha^{a}\\end{array)
13,12e9e7dd1f.png,1,1,100.0,exact,60,60,\phi=\left(\begin{array}{c}{0}\{\phi_{0}}\\end{array}\right),\phi=\left(\begin{array}{c}{0}\{\phi_{0}}\\end{array}\right),\phi=(\begin{array}{c}{0}\{\phi_{0}\\end{array),\phi=(\begin{array}{c}{0}\{\phi_{0}\\end{array)
14,7c99ded238.png,1,1,100.0,exact,36,36,"\mathrm{Tr}({\bfM}_{+}{\bfM}_{-})=0,","\mathrm{Tr}({\bfM}_{+}{\bfM}_{-})=0,","\mathrm{Tr}(\bfM_{+}\bfM_{-)=0,","\mathrm{Tr}(\bfM_{+}\bfM_{-)=0,"
15,652ec3e732.png,1,1,100.0,exact,69,69,\int_{{\calC}_{i}}B_{2}=4\pi^{2}\alpha^{\prime}\frac{1}{2}\equivb_{0},\int_{{\calC}_{i}}B_{2}=4\pi^{2}\alpha^{\prime}\frac{1}{2}\equivb_{0},\int_{\calC_{i}B_{2=4\pi^{2}\alpha^{\prime}\frac{1}{2}\equivb_{0},\int_{\calC_{i}B_{2=4\pi^{2}\alpha^{\prime}\frac{1}{2}\equivb_{0}
16,72689463cf.png,0,1,93.939,canonical_equivalent,33,31,"\alpha^{2}={\frac{Q_{c}^{2}}{a}},","\alpha^{2}=\frac{Q_{c}^{2}}{a},","\alpha^{2=\frac{Q_c^{2}{a,","\alpha^{2=\frac{Q_c^{2}{a,"
17,523ad74d44.png,0,1,96.078,canonical_equivalent,51,49,"\sum_{j=1}^{r+1}\bar{x}_{j}^{2}={\frac{r(r+1)}{2}},","\sum_{j=1}^{r+1}\bar{x}_{j}^{2}=\frac{r(r+1)}{2},","\sum_{j=1^{r+1}\barx_j^{2=\frac{r(r+1)}{2,","\sum_{j=1^{r+1}\barx_j^{2=\frac{r(r+1)}{2,"
18,3264c226dd.png,0,1,81.69,canonical_equivalent,71,58,"\left(\alpha^{\prime}\right)^{-1}e^{-\phi/2}f_{16}\,simg^{-24}\sqrt{N},","(\alpha^{\prime})^{-1}e^{-\phi/2}f_{16}simg^{-24}\sqrt{N},","(\alpha^{\prime)^{-1}e^{-\phi/2}f_{16}simg^{-24}\sqrt{N,","(\alpha^{\prime)^{-1}e^{-\phi/2}f_{16}simg^{-24}\sqrt{N,"
19,c578283712.png,0,0,98.361,almost_correct,61,61,(R_{ab}R^{ab}-\frac{n}{4(n-1)}R^{2})\phi^{\frac{2(n-4)}{n-2}},(R_{ab}R^{ab}-\frac{n}{4(n-1)}R^{2})\phi^{\frac{2(n-a)}{n-2}},(R_{ab}R^{ab-\frac{n}{4(n-1)}R^{2)\phi^\frac{2(n-4)}{n-2},(R_{ab}R^{ab-\frac{n}{4(n-1)}R^{2)\phi^\frac{2(n-a)}{n-2}
20,672726b185.png,0,0,95.918,almost_correct,49,47,j_{1}^{k}=\omega_{1}^{k-2}\subseteq\omega_{1}^{k},j_{1}^{k}=\omega_{1}^{k-2}\subset\omega_{1}^{k},j_1^{k=\omega_1^{k-2}\subseteq\omega_1^{k},j_1^{k=\omega_1^{k-2}\subset\omega_1^{k}
21,18457514f2.png,0,1,94.253,canonical_equivalent,174,164,V_{eff}(z)=\frac{3(5\alpha+4)k^{2}}{64\left({\frac{kz}{2}}+1\right)^{2}}+{\frac{l^{2}}{2R^{2}}}\left({\frac{kz}{2}}+1\right)^{{\frac{5}{2}}(\alpha-2)}-{\frac{3k}{4}}\delta(z),V_{eff}(z)=\frac{3(5\alpha+4)k^{2}}{64\left(\frac{kz}{2}+1\right)^{2}}+\frac{l^{2}}{2R^{2}}\left(\frac{kz}{2}+1\right)^{\frac{5}{2}(\alpha-2)}-\frac{3k}{4}\delta(z),V_{eff}(z)=\frac{3(5\alpha+4)k^{2}{64(\frac{kz}{2+1)^{2+\frac{l^{2}{2R^{2}(\frac{kz}{2+1)^\frac{5}{2}(\alpha-2)-\frac{3k}{4}\delta(z),V_{eff}(z)=\frac{3(5\alpha+4)k^{2}{64(\frac{kz}{2+1)^{2+\frac{l^{2}{2R^{2}(\frac{kz}{2+1)^\frac{5}{2}(\alpha-2)-\frac{3k}{4}\delta(z)
22,3603a44b2b.png,0,0,55.714,semantic_or_token_error,70,69,"R:~~~~~~~~~~~~~~~~~~~~~~~~~\alpha^{\prime}M^{2}=-1,0,1,2,3,...........","R:\qquad\qquad\qquad\alpha^{\prime}M^{2}M^{2}=-1,0,1,2,3,............","R:~~~~~~~~~~~~~~~~~~~~~~~~~\alpha^{\prime}M^{2=-1,0,1,2,3,...........","R:\alpha^{\prime}M^{2}M^{2=-1,0,1,2,3,............"
23,64daea677f.png,1,1,100.0,exact,101,101,"a(\xi)=\frac{\xi^{-1}-\xi}{q^{-1}\xi^{-1}-q\xi}\,,\quadb(\xi)=\frac{q^{-1}-q}{q^{-1}\xi^{-1}-q\xi}\,.","a(\xi)=\frac{\xi^{-1}-\xi}{q^{-1}\xi^{-1}-q\xi}\,,\quadb(\xi)=\frac{q^{-1}-q}{q^{-1}\xi^{-1}-q\xi}\,.","a(\xi)=\frac{\xi^{-1-\xi}{q^{-1}\xi^{-1-q\xi,b(\xi)=\frac{q^{-1-q}{q^{-1}\xi^{-1-q\xi}.","a(\xi)=\frac{\xi^{-1-\xi}{q^{-1}\xi^{-1-q\xi,b(\xi)=\frac{q^{-1-q}{q^{-1}\xi^{-1-q\xi}."
24,7495d151e1.png,0,1,74.51,canonical_equivalent,51,42,x^{\pm}=\frac{\left(x^{0}\pmx^{1}\right)}{\sqrt{2}},x^{\pm}={\frac{(x^{0}\pmx^{1})}{\sqrt{2}}},x^{\pm=\frac{(x^{0}\pmx^{1)}\sqrt{2},x^{\pm=\frac{(x^{0}\pmx^{1)}\sqrt{2}
25,aacbc9b7e5.png,1,1,100.0,exact,103,103,"a_{0}[[a_{0},a_{n}],a_{0}]=a_{0}[[a_{0},a_{n}]_{1},a_{0}]\hbar+a_{0}[[a_{0},a_{n}]_{2},a_{0}]\hbar^{2}.","a_{0}[[a_{0},a_{n}],a_{0}]=a_{0}[[a_{0},a_{n}]_{1},a_{0}]\hbar+a_{0}[[a_{0},a_{n}]_{2},a_{0}]\hbar^{2}.","a_{0}[[a_{0,a_{n],a_{0]=a_{0}[[a_{0,a_{n]_{1,a_{0]\hbar+a_{0}[[a_{0,a_{n]_{2,a_{0]\hbar^{2}.","a_{0}[[a_{0,a_{n],a_{0]=a_{0}[[a_{0,a_{n]_{1,a_{0]\hbar+a_{0}[[a_{0,a_{n]_{2,a_{0]\hbar^{2}."
26,7aed42a53c.png,1,1,100.0,exact,27,27,"g_{ij}=\bar{g}_{ij}+h_{ij},","g_{ij}=\bar{g}_{ij}+h_{ij},","g_{ij=\barg_{ij+h_{ij,","g_{ij=\barg_{ij+h_{ij,"
27,2ffc852060.png,1,1,100.0,exact,64,64,"U(\vec{x};A,B)=AU_{\mathrm{S}}(D(B)^{-1}\cdot\vec{x})A^{\dagger}","U(\vec{x};A,B)=AU_{\mathrm{S}}(D(B)^{-1}\cdot\vec{x})A^{\dagger}","U(\vec{x};A,B)=AU_\mathrm{S}(D(B)^{-1}\cdot\vec{x)A^{\dagger}","U(\vec{x};A,B)=AU_\mathrm{S}(D(B)^{-1}\cdot\vec{x)A^{\dagger}"
28,4efc22f0f5.png,0,1,97.561,canonical_equivalent,82,80,{\frac{\partial\bar{g}_{\mu\nu}}{\partiall_{i}}}\in\mathrm{Ker}(\bar{F}^{\dagger}),\frac{\partial\bar{g}_{\mu\nu}}{\partiall_{i}}\in\mathrm{Ker}(\bar{F}^{\dagger}),\frac{\partial\barg_{\mu\nu}{\partiall_{i}\in\mathrm{Ker}(\barF^{\dagger),\frac{\partial\barg_{\mu\nu}{\partiall_{i}\in\mathrm{Ker}(\barF^{\dagger)
29,105de61fa3.png,1,1,100.0,exact,68,68,"L_{a}=\frac{1}{16\pi}\mathrm{Im}\intd^{2}\theta\,W^{2}\tau(z^{-1/4})","L_{a}=\frac{1}{16\pi}\mathrm{Im}\intd^{2}\theta\,W^{2}\tau(z^{-1/4})",L_{a=\frac{1}{16\pi}\mathrm{Im}\intd^{2}\thetaW^{2}\tau(z^{-1/4),L_{a=\frac{1}{16\pi}\mathrm{Im}\intd^{2}\thetaW^{2}\tau(z^{-1/4)
30,47696e11d7.png,0,0,89.617,brace_issue,183,169,"+\,\,\mathrm{e}^{\varphi}\,{F}_{[3]}^{RR}\wedge\star{F}_{[3]}^{RR}\,+\,\frac{1}{2}\,{F}_{[5]}^{RR}\wedge\star{F}_{[5]}^{RR}\,-\,C_{[4]}\wedgeF_{[3]}^{NS}\wedgeF_{[3]}^{RR}\Big]\Bigg\}","+\;\mathrm{e}^{\varphi}\,F_{[3]}^{R}\wedge\starF_{[3]}^{RR}\,+\,\frac{1}{2}\,F_{[5]}^{RR}\wedge\starF_{[5]}^{RR}\,-\,C_{[4]}\wedgeF_{[3]}^{NS}\wedgeF_{[3]}^{RR}]\right\}",+\mathrme^{\varphi}F_{[3]^{RR}\wedge\starF_{[3]^{RR+\frac{1}{2}F_{[5]^{RR}\wedge\starF_{[5]^{RR-C_{[4]}\wedgeF_{[3]^{NS}\wedgeF_{[3]^{RR}\Big]\Bigg\},+\mathrme^{\varphi}F_{[3]^{R}\wedge\starF_{[3]^{RR+\frac{1}{2}F_{[5]^{RR}\wedge\starF_{[5]^{RR-C_{[4]}\wedgeF_{[3]^{NS}\wedgeF_{[3]^{RR]\}
31,53ded8fccd.png,0,1,92.593,canonical_equivalent,108,100,"S[\phi^{\dagger},\phi]\;=\;\intd^{3}x\,{\calL}(\phi^{\dagger},\phi;\partial\phi^{\dagger},\partial\phi)\;\;,","S[\phi^{\dagger},\phi]=\intd^{3}x\,{\calL}(\phi^{\dagger},\phi;\partial\phi^{\dagger},\partial\phi),","S[\phi^{\dagger,\phi]=\intd^{3}x{\calL}(\phi^{\dagger,\phi;\partial\phi^{\dagger,\partial\phi),","S[\phi^{\dagger,\phi]=\intd^{3}x{\calL}(\phi^{\dagger,\phi;\partial\phi^{\dagger,\partial\phi),"
32,6b5b65e371.png,1,1,100.0,exact,85,85,"G^{K}\,=\,G^{0}+G^{0}K^{R}G^{0}+G^{0}K^{R}G^{0}K^{R}G^{0}+\cdots\equiv\,G^{0}+G^{KR}.","G^{K}\,=\,G^{0}+G^{0}K^{R}G^{0}+G^{0}K^{R}G^{0}K^{R}G^{0}+\cdots\equiv\,G^{0}+G^{KR}.",G^{K=G^{0+G^{0}K^{R}G^{0+G^{0}K^{R}G^{0}K^{R}G^{0+\cdots\equivG^{0+G^{KR}.,G^{K=G^{0+G^{0}K^{R}G^{0+G^{0}K^{R}G^{0}K^{R}G^{0+\cdots\equivG^{0+G^{KR}.
33,73778ad253.png,1,1,100.0,exact,49,49,\partial_{\mu}=\frac{\partial}{\partial\xi^{\mu}},\partial_{\mu}=\frac{\partial}{\partial\xi^{\mu}},\partial_{\mu=\frac{\partial}{\partial\xi^{\mu},\partial_{\mu=\frac{\partial}{\partial\xi^{\mu}
34,1c6c15eec1.png,1,1,100.0,exact,72,72,"(\partial_{\gamma},\partial_{\gamma})_{(10)}=\sqrt{\tilde{\Delta}}e^{2U}","(\partial_{\gamma},\partial_{\gamma})_{(10)}=\sqrt{\tilde{\Delta}}e^{2U}","(\partial_{\gamma,\partial_{\gamma)_{(10)=\sqrt\tilde{\Delta}e^{2U}","(\partial_{\gamma,\partial_{\gamma)_{(10)=\sqrt\tilde{\Delta}e^{2U}"
35,48eb8b68bd.png,1,1,100.0,exact,91,91,"3.8G=\eta_{ab}dz^{a}\otimesdz^{b}=-dz^{0}\otimesdz^{0}+\sum_{i=1}^{n-1}dz^{i}\otimesdz^{i},","3.8G=\eta_{ab}dz^{a}\otimesdz^{b}=-dz^{0}\otimesdz^{0}+\sum_{i=1}^{n-1}dz^{i}\otimesdz^{i},","3.8G=\eta_{ab}dz^{a}\otimesdz^{b=-dz^{0}\otimesdz^{0+\sum_{i=1^{n-1}dz^{i}\otimesdz^{i,","3.8G=\eta_{ab}dz^{a}\otimesdz^{b=-dz^{0}\otimesdz^{0+\sum_{i=1^{n-1}dz^{i}\otimesdz^{i,"
36,6c4b620ad6.png,0,0,93.617,semantic_or_token_error,92,94,"\int_{-\infty}^{\infty}P_{r}^{\bfV}(x)P_{s}^{\bfV}(x)\,e^{-x^{2}}\,dx\,\propto\delta_{r\,s}.","\int_{-\infty}^{\infty}P_{r}^{{\bfV}}(x)P_{s}^{{\bfV}}(x)\,e^{-x^{2}}\,dx\,\propto\delta_{rs}.",\int_{-\infty^{\infty}P_r^{\bfV}(x)P_s^{\bfV}(x)e^{-x^{2}dx\propto\delta_{rs}.,\int_{-\infty^{\infty}P_r^{{\bfV}(x)P_s^{{\bfV}(x)e^{-x^{2}dx\propto\delta_{rs}.
37,55d0a0fc56.png,0,0,90.909,semantic_or_token_error,66,65,\Phi^{i}=\frac{1}{2}\pi^{i}-\intdu\;\;\epsilon(x-u)\;\theta^{i}(u),\Phi^{i}={\frac{1}{2}}\pi^{i}-\intdu~\epsilon(x-u)\;\theta^{i}(u),\Phi^{i=\frac{1}{2}\pi^{i-\intdu\epsilon(x-u)\theta^{i}(u),\Phi^{i=\frac{1}{2}\pi^{i-\intdu~\epsilon(x-u)\theta^{i}(u)
38,4d1592b40a.png,0,0,94.631,semantic_or_token_error,149,147,"{\calH}_{int}(x)=-e\overline{{\psi}}^{(0)}(x)\beta^{\mu}A_{\mu}^{(0)}(x)[I+\frac{e}{m}(I-\beta_{0}^{2})\beta^{\nu}A_{\nu}^{(0)}(x)]\psi^{(0)}(x)\,\,,","{\calH}_{int}(x)=-e{\overline{\psi}}^{(0)}(x)\beta^{\mu}A_{\mu}^{(0)}(x)[I+{\frac{e}{m}}(I-\beta_{0}^{2})\beta^{\nu}A_{\nu}^{(0)}(x)]\psi^{(0)}(x),","\calH_{int}(x)=-e\overline{\psi^{(0)}(x)\beta^{\mu}A_\mu^{(0)}(x)[I+\frac{e}{m}(I-\beta_0^{2)\beta^{\nu}A_\nu^{(0)}(x)]\psi^{(0)}(x),","\calH_{int}(x)=-e{\overline\psi^{(0)}(x)\beta^{\mu}A_\mu^{(0)}(x)[I+\frac{e}{m}(I-\beta_0^{2)\beta^{\nu}A_\nu^{(0)}(x)]\psi^{(0)}(x),"
39,2724dd250b.png,0,0,93.103,semantic_or_token_error,54,58,"Q=(b+1/b)\rho,\qquad\rho=\frac12\sum_{\alpha>0}\alpha,","Q=(b+1/b)\rho,\qquad\rho=\frac{1}{2}\sum_{\alpha>0}\alpha,","Q=(b+1/b)\rho,\rho=\frac12\sum_{\alpha>0}\alpha,","Q=(b+1/b)\rho,\rho=\frac{1}{2}\sum_{\alpha>0}\alpha,"
40,38dbc7d096.png,0,0,92.381,semantic_or_token_error,105,97,"{h_{0}^{0}}(x^{\mu})=\sum{b_{0}^{0}}(t,z)Y(x^{i}),\quad{h_{z}^{0}}(x^{\mu})=\sum{b_{z}^{0}}(t,z)Y(x^{i}),","h_{0}^{0}(x^{\mu})=\sumb_{0}^{0}(t,z)Y(x^{i}),\quadh_{z}^{0}(x^{\mu})=\sumb_{z}^{0}(t,z)Y(x^{i}),","{h_0^{0}(x^{\mu)=\sum{b_0^{0}(t,z)Y(x^{i),{h_z^{0}(x^{\mu)=\sum{b_z^{0}(t,z)Y(x^{i),","h_0^{0}(x^{\mu)=\sumb_0^{0}(t,z)Y(x^{i),h_z^{0}(x^{\mu)=\sumb_z^{0}(t,z)Y(x^{i),"
41,15c5d88a1a.png,0,0,89.623,semantic_or_token_error,101,106,"P^{2}=\bigg(\frac{4}{\pih^{2}N}\bigg)^{2}\bigg[1+O\bigg(\frac{1}{P^{2}}\bigg)\bigg],\;\;\pih^{2}N<<1.","P^{2}=\left(\frac{4}{\pih^{2}N}\right)^{2}\biggl[1+O\biggl(\frac{1}{P^{2}}\biggr)\biggr],\;\;\pih^{2}N<<1.","P^{2=\bigg(\frac{4}{\pih^{2}N}\bigg)^{2}\bigg[1+O\bigg(\frac{1}{P^{2}\bigg)\bigg],\pih^{2}N<<1.","P^{2=(\frac{4}{\pih^{2}N)^{2}\biggl[1+O\biggl(\frac{1}{P^{2}\biggr)\biggr],\pih^{2}N<<1."
42,4d31b13054.png,1,1,100.0,exact,86,86,V_{\mathrm{eff}}=\operatorname*{lim}_{\lambda\rightarrow0}\left(V^{gen}+V^{PT}\right).,V_{\mathrm{eff}}=\operatorname*{lim}_{\lambda\rightarrow0}\left(V^{gen}+V^{PT}\right).,V_\mathrm{eff=\operatorname*{lim_{\lambdaarrow0}(V^{gen+V^{PT).,V_\mathrm{eff=\operatorname*{lim_{\lambdaarrow0}(V^{gen+V^{PT).
43,7376be8a16.png,0,0,92.537,semantic_or_token_error,67,62,"{\theta_{n}^{\alpha\Lambda}}{^\dagger}=\theta_{-n}^{\alpha\Lambda},","\theta_{n}^{\alpha\Lambda\dagger}=\theta_{-n}^{\alpha\Lambda},","{\theta_n^{\alpha\Lambda}{^\dagger=\theta_{-n^{\alpha\Lambda,","\theta_n^{\alpha\Lambda\dagger=\theta_{-n^{\alpha\Lambda,"
44,5caa163344.png,0,0,97.403,almost_correct,75,77,"{\calS}^{\mu\nu}\equiv\epsilon^{\mu\nu\rho\sigma}\theta_{\rho}P_{\sigma}=0,","{\calS}^{\mu\nu}\equiv\epsilon^{\mu\nu\rho\sigma}\theta_{\rho}P_{\sigma}=0~~,","\calS^{\mu\nu}\equiv\epsilon^{\mu\nu\rho\sigma}\theta_{\rho}P_{\sigma=0,","\calS^{\mu\nu}\equiv\epsilon^{\mu\nu\rho\sigma}\theta_{\rho}P_{\sigma=0~~,"
45,2673247422.png,0,0,93.717,brace_issue,191,189,"\operatorname{exp}\left(\sum_{g=0}^{\infty}x^{2g-2}\mathcal{F}_{g}\right)=e^{-\frac{D(0,0,0)}{2}\zeta(1)}\prod_{(\ell,n,\gamma,j)>0}(1-p^{\ell}q^{n}\zeta^{\gamma}y^{j})^{D(\elln,\gamma,j)}\,.","\operatorname{exp}\left(\sum_{g=0}^{\infty}x^{2g-2}{\calF}_{g}\right)=e^{-\frac{D(0,0)}{2}}\zeta(1)}\prod_{(\ell,n,\gamma,j)>0}(1-p^{\ell}q^{n}\zeta^{\gamma}y^{j})^{D(\ell_{n},\gamma,j)}\,.","\operatorname{exp}(\sum_{g=0^{\infty}x^{2g-2}\mathcalF_{g)=e^{-\frac{D(0,0,0)}{2}\zeta(1)}\prod_{(\ell,n,\gamma,j)>0}(1-p^{\ell}q^{n}\zeta^{\gamma}y^{j)^{D(\elln,\gamma,j)}.","\operatorname{exp}(\sum_{g=0^{\infty}x^{2g-2}\calF_{g)=e^{-\frac{D(0,0)}{2}\zeta(1)}\prod_{(\ell,n,\gamma,j)>0}(1-p^{\ell}q^{n}\zeta^{\gamma}y^{j)^{D(\ell_{n,\gamma,j)}."
46,6552f4db6d.png,1,1,100.0,exact,40,40,M_{P}^{2}=M_{s}^{3}\intdze^{-2\sigma(z)},M_{P}^{2}=M_{s}^{3}\intdze^{-2\sigma(z)},M_P^{2=M_s^{3}\intdze^{-2\sigma(z)},M_P^{2=M_s^{3}\intdze^{-2\sigma(z)}
