formula,image,formula_len_chars,formula_len_tokens_rough,image_width,image_height,aspect_ratio
{ \bf J } = { \frac { 1 } { 2 } } \left( \begin{array} { c c } { p ^ { \dagger } } & { q ^ { \dagger } } \\ \end{array} \right) { \bf \sigma } \left( \begin{array} { c } { p } \\ { q } \\ \end{array} \right) + { \frac { 1 } { 2 } } \left( \begin{array} { c c } { r ^ { \dagger } } & { s ^ { \dagger } } \\ \end{array} \right) { \bf \sigma } \left( \begin{array} { c } { r } \\ { s } \\ \end{array} \right),2a2d9f39aa.png,405,110,384,64,6.0
"\left( \begin{array} { c } { h _ { + } } \\ { h _ { - } } \\ { h _ { 3 } } \\ { 1 } \\ \end{array} \right) = \left( \begin{array} { c c l c } { N ^ { - 1 / 2 } } & { } & { } & { } \\ \end{array} \right) \left( \begin{array} { c } { N \Sigma _ { + } ^ { ( N ) } } \\ { N \Sigma _ { - } ^ { ( N ) } } \\ { N \Sigma _ { 3 } ^ { ( N ) } / 2 } \\ { { \bf 1 } ^ { ( N ) } } \\ \end{array} \right) ,",5e00455730.png,392,134,480,128,3.75
\Phi ^ { \prime \prime } - \partial _ { \alpha } \partial ^ { \alpha } \Phi + \Phi \biggl [ \frac { 5 } { 2 } { \cal H } ^ { \prime } + \frac { \varphi ^ { \prime \prime \prime } } { \varphi ^ { \prime } } - \frac { 9 } { 4 } { \cal H } ^ { 2 } - { \cal H } \frac { \varphi ^ { \prime \prime } } { \varphi ^ { \prime } } - 2 \biggl ( \frac { \varphi ^ { \prime \prime } } { \varphi ^ { \prime } } \biggr ) ^ { 2 } \biggr ] = 0 .,5c694c0429.png,428,123,480,64,7.5
"\langle F _ { \mu } ^ { i } [ \xi | s ] F _ { \mu ^ { \prime } } ^ { i ^ { \prime } } [ \xi ^ { \prime } | s ^ { \prime } ] \rangle = - { \frac { 3 i } { 4 a _ { \xi ^ { \prime } } ( s ^ { \prime } ) } } \delta ^ { i i ^ { \prime } } g _ { \mu \mu ^ { \prime } } \, \delta ( s - s ^ { \prime } ) \prod _ { \bar { s } = 0 } ^ { 2 \pi } \, \delta ^ { 4 } ( \xi ( \bar { s } ) - \xi ^ { \prime } ( \bar { s } ) ) ,",409ae9fdd1.png,411,148,480,64,7.5
"\hat { A } _ { ( d ) \, \mu _ { 1 } \cdots \mu _ { d } } = c a ^ { d } \frac { \epsilon _ { \mu _ { 1 } \cdots \mu _ { d } } } { \sqrt { | g | } } \, , \Rightarrow \hat { F } _ { ( \hat { d } ) \, \underline { { y } } \mu _ { 1 } \cdots \mu _ { d } } = c d a ^ { d } \operatorname { l o g } ^ { \prime } { a } \, \frac { \epsilon _ { \mu _ { 1 } \cdots \mu _ { d } } } { \sqrt { | g | } } \, ,",223efe00f1.png,393,139,480,64,7.5
\epsilon ^ { m n } \displaystyle \frac { \partial } { \partial x _ { m } } \left[ L _ { j k } ^ { n } \frac { \partial ^ { 2 } W } { \partial x _ { j } \partial x ^ { l } } + M _ { j l } ^ { n } \frac { \partial ^ { 2 } W } { \partial x ^ { k } \partial _ { j } } + \frac { i } { 2 } H ^ { n j } \frac { \partial ^ { 3 } W } { \partial x ^ { j } \partial x ^ { k } \partial x ^ { l } } \right] = 0,36a759c187.png,397,132,480,64,7.5
"C _ { i _ { p } \, j _ { q } } ^ { k _ { s } } = \left\{ \begin{array} { l l l } { 0 , } & { \mathrm { i f } \ p + q \neq s } \\ { c _ { i _ { p } j _ { q } } ^ { k _ { s } } , } & { \mathrm { i f } \ p + q = s } \\ \end{array} \right. \quad \begin{array} { l } { p = 0 , 1 , \ldots , n } \\ { i _ { p , q , s } = 1 , 2 , \ldots , \textrm { d i m } \, V _ { p , q , s } \; , } \\ \end{array}",9131bb1977.png,391,147,480,64,7.5
"m _ { \phi } ^ { 2 \ ( - ) } = \lambda _ { o b s } ^ { - 2 } \ m _ { \phi } ^ { 2 \ ( + ) } = \lambda _ { o b s } ^ { - 2 } \ { \frac { d ^ { 2 } V _ { \mathrm { \footnotesize \it ~ \hspace { - 6 p t } ~ e f f \, } } } { d \phi ^ { 2 } } } \approx \mp \lambda _ { o b s } \left( { \frac { 5 \pi ^ { 3 } \zeta _ { R } ^ { \prime } ( - 4 ) } { 6 M ^ { 3 } l ^ { 5 } } } \right) .",11aa263f18.png,377,143,480,64,7.5
"\big \{ f , g \big \} = \Big ( \frac { \partial f } { \partial x _ { i } } \frac { \partial g } { \partial p _ { i } } - \frac { \partial g } { \partial x _ { i } } \frac { \partial f } { \partial p _ { i } } \Big ) + \theta \Big ( \frac { \partial f } { \partial x _ { 1 } } \frac { \partial g } { \partial x _ { 2 } } - \frac { \partial g } { \partial x _ { 1 } } \frac { \partial f } { \partial x _ { 2 } } \Big ) .",20dcc797c7.png,418,125,480,64,7.5
"K = * { \frac { ( \kappa ^ { 2 } ) } { 2 } } = { \frac { i } { 2 } } \left[ f _ { \mu _ { 1 } \bar { \nu } _ { 1 } } \, f _ { \mu _ { 2 } \bar { \nu } _ { 2 } } \right] \epsilon _ { \hspace { 0 . 2 5 i n } \alpha } ^ { \mu _ { 1 } \mu _ { 2 } } \, \epsilon _ { \hspace { 0 . 2 5 i n } \bar { \beta } } ^ { \bar { \nu } _ { 1 } \bar { \nu } _ { 2 } } \, \, d z ^ { \alpha } \wedge d \bar { z } ^ { \beta }",67282eafc1.png,404,147,384,64,6.0
\operatorname { l n } \epsilon \int \prod _ { i = 1 } ^ { n } d ^ { D } y _ { i } ^ { \mu } \left\{ \left( { \frac { \partial } { \partial y _ { 1 } ^ { \mu } } } S ^ { ( n ) } \right) \left( { \frac { \partial } { \partial y _ { 1 \mu } } } S ^ { ( n ) } \right) + { \frac { \partial ^ { 2 } } { \partial y _ { 1 } ^ { 2 } } } S ^ { ( n ) } \right\} e ^ { S ^ { ( n ) } } = 0 .,4e8c59547c.png,378,129,480,64,7.5
"\lambda ^ { a , \alpha \beta } \lambda _ { a ~ \delta } ^ { ~ \gamma } - \lambda ^ { a , \gamma \alpha } \lambda _ { a ~ \delta } ^ { ~ \beta } = \frac { 2 } { \sigma _ { 0 } } \left( \Omega ^ { \alpha \beta } \delta _ { ~ \delta } ^ { \gamma } - 2 \Omega ^ { \beta \gamma } \delta _ { ~ \delta } ^ { \alpha } + \Omega ^ { \gamma \alpha } \delta _ { ~ \delta } ^ { \beta } \right) ,",614d14a9d8.png,382,107,480,64,7.5
"\delta _ { \xi } \left< T _ { z \overline { z } } \left( z , \overline { z } \right) \right> = { \frac { 1 } { 9 6 } } \left( 2 \, \partial _ { z } ^ { \, 2 } \partial ^ { z } \xi ^ { z } \left( z , \overline { z } \right) + 2 \, \partial _ { \overline { z } } ^ { \, 2 } \partial ^ { \overline { z } } \xi ^ { \overline { z } } \left( z , \overline { z } \right) \right) \; .",29111e7f9d.png,376,109,480,64,7.5
"\begin{array} { c c } { \left\{ \begin{array} { l } { \delta ^ { ( 1 ) } A _ { \mu } = i \bar { \epsilon } \sigma _ { \mu } \psi } \\ { \delta ^ { ( 1 ) } \psi = \frac { i } { 2 } ( [ A _ { \mu } , A _ { \nu } ] - i \alpha \epsilon _ { \mu \nu \lambda } A _ { \lambda } ) \sigma ^ { \mu \nu } \epsilon } \\ \end{array} \right. } & { \mathrm { , ~ } \left\{ \begin{array} { l } { \delta A _ { \mu } ^ { ( 2 ) } = 0 } \\ { \delta ^ { ( 2 ) } \psi = \xi . } \\ \end{array} \right. } \\ \end{array}",ac0203b6dc.png,494,145,480,64,7.5
N ( \theta ) = \frac { m } 3 \left( \operatorname { l n } \operatorname { s i n } \theta - \frac 1 { \operatorname { s i n } ^ { 2 } \theta } \right) + \frac { C _ { 1 } } 4 \left( \operatorname { l n } \frac { 1 - \operatorname { c o s } \theta } { 1 + \operatorname { c o s } \theta } - \frac { 2 \operatorname { c o s } \theta } { \operatorname { s i n } ^ { 2 } \theta } \right) + C _ { 2 } .,6eb3233a4e.png,396,112,480,64,7.5
\tilde { g } _ { 0 0 } = \frac { g _ { 0 0 } } { \left[ 1 + ( 1 + g _ { 0 0 } ) \operatorname { s i n h } ^ { 2 } \alpha \right] ^ { 2 } } = - \frac { \left( 1 - \frac { 2 \eta } { r } \right) ^ { \frac { m + \sigma } { \eta } } } { \left[ 1 + ( 1 - ( 1 - \frac { 2 \eta } { r } ) ^ { \frac { m + \sigma } { \eta } } ) \operatorname { s i n h } ^ { 2 } \alpha \right] ^ { 2 } },1fd4a970b7.png,377,130,480,128,3.75
"K [ H _ { n } , 1 ] = \left( \frac { m \omega \sqrt { \xi \xi _ { 0 } } } { i \hbar \operatorname { s i n } \omega t } \right) \left( \frac { m \omega \sqrt { \eta \eta _ { 0 } } } { i \hbar \operatorname { s i n } \omega t } \right) J _ { n } \left( \frac { m \omega \sqrt { \xi \xi _ { 0 } } } { i \hbar \operatorname { s i n } \omega t } \right) J _ { n } \left( \frac { m \omega \sqrt { \eta \eta _ { 0 } } } { i \hbar \operatorname { s i n } \omega t } \right) \nonumber",1a9ab71a32.png,475,134,480,64,7.5
[ P ( \Omega _ { p } ) ] _ { a _ { 1 } \ldots a _ { p } } = \Omega _ { \mu _ { 1 } \ldots \mu _ { p } } \left( \delta _ { a _ { 1 } } ^ { \mu _ { 1 } } I _ { N } + \lambda \frac { \partial \phi ^ { \mu _ { 1 } } } { \partial \sigma ^ { a _ { 1 } } } \right) \ldots \left( \delta _ { a _ { p } } ^ { \mu _ { p } } I _ { N } + \lambda \frac { \partial \phi ^ { \mu _ { p } } } { \partial \sigma ^ { a _ { p } } } \right),5a9bdea5a6.png,418,143,480,64,7.5
"\tilde { S } _ { L } = \frac { 1 } { 4 \pi \alpha ^ { \prime } } \int _ { \Sigma } [ \tilde { g } ^ { \mu \nu } ( \partial _ { t } \tilde { x } _ { \mu } \partial _ { t } \tilde { x } _ { \nu } - \partial _ { \sigma } \tilde { x } _ { \mu } \partial _ { \sigma } \tilde { x } _ { \nu } ) + 4 \pi i \alpha ^ { \prime } \tilde { b } ^ { \mu \nu } \partial _ { t } \tilde { x } _ { \mu } \partial _ { \sigma } \tilde { x } _ { \nu } ] ,",5ef640bb48.png,433,138,480,64,7.5
\left\langle U _ { \lambda } \left( w \right) \right\rangle _ { w ^ { \prime } } = \prod _ { X _ { i ^ { \prime } } ^ { \prime } \in { \it G } } \prod _ { \left( n _ { i ^ { \prime } } ^ { * } \right) _ { i ^ { \prime } = 0 } ^ { k } } \left\langle U _ { \lambda } \left( w \right) \right\rangle _ { w _ { n _ { i ^ { \prime } } ^ { * } } ^ { \prime } } ^ { \left( { \it G } _ { 1 } \right) _ { X _ { i ^ { \prime } } ^ { \prime } } },6039129821.png,434,137,320,64,5.0
"\begin{array} { r c l c r c l } { \psi _ { - } } & { \rightarrow } & { e ^ { - i \theta } g ^ { - 1 } \psi _ { - } } & { \quad \quad } & { \psi _ { + } } & { \rightarrow } & { \psi _ { + } \nonumber } \\ { \psi _ { - } ^ { \dagger } } & { \rightarrow } & { \psi _ { - } ^ { \dagger } g e ^ { i \theta } } & { \quad \quad } & { \psi _ { + } ^ { \dagger } } & { \rightarrow } & { \psi _ { + } ^ { \dagger } } \\ \end{array} \quad ,",3bae3da375.png,429,140,320,64,5.0
"F _ { r { \tilde { \theta } } } ^ { 1 } = - \, \frac { 1 } { 2 \lambda } \, { \dot { a } } ~ ~ , ~ ~ F _ { r { \tilde { \varphi } } } ^ { 2 } = \frac { 1 } { 2 \lambda } \, { \operatorname { s i n } { \widetilde { \theta } } \, { \dot { a } } } ~ ~ , ~ ~ F _ { { \tilde { \theta } } { \tilde { \varphi } } } ^ { 3 } = \frac { 1 } { 2 \lambda } \, { \operatorname { s i n } { \widetilde { \theta } } } \left( 1 - a ^ { 2 } \right) ~ ~ .",2638400ed7.png,435,145,480,64,7.5
"\operatorname { c o s } \alpha = \frac { \operatorname { c o s } \theta _ { 2 } } { \operatorname { c o s } \theta _ { 1 } } \, , \; \; \; \operatorname { c o s h } \gamma = \frac { \operatorname { s i n } \theta _ { 2 } } { \operatorname { c o s } \theta _ { 1 } } \frac { 1 } { \operatorname { s i n } \alpha } \, , \; \; \; \operatorname { s i n h } \gamma = \frac { \operatorname { s i n } \theta _ { 1 } } { \operatorname { c o s } \theta _ { 2 } } \frac { 1 } { \operatorname { t a n } \alpha }",14790efa1e.png,500,143,480,64,7.5
"\left\{ \begin{array} { l } { { \psi } ^ { \pm j } ( \sigma , \tau ) = \sqrt { \alpha ^ { \prime } } \sum _ { n \in Z } { d _ { n } } ^ { \pm j } \operatorname { e x p } [ - i n ( \tau + \sigma ) ] } \\ { { \tilde { \psi } } ^ { \pm j } ( \sigma , \tau ) = \sqrt { \alpha ^ { \prime } } \sum _ { n \in Z } { d _ { n } } ^ { \pm j } \operatorname { e x p } [ - i n ( \tau - \sigma ) ] \; , } \\ \end{array} \right.",6c96577943.png,413,132,384,64,6.0
\gamma ^ { - 1 / 2 } e ^ { \phi } \left[ \frac { \delta \mathcal { S } } { \delta \gamma _ { i j } } \frac { \delta \mathcal { S } } { \delta \gamma _ { k l } } \gamma _ { i k } \gamma _ { j l } + \frac { 1 } { 2 } ( \frac { \delta \mathcal { S } } { \delta \phi } ) ^ { 2 } + \gamma _ { i j } \frac { \delta \mathcal { S } } { \delta \gamma _ { i j } } \frac { \delta \mathcal { S } } { \delta \phi } \right] = 0 ~ ~ ~ .,617e86535b.png,421,129,480,64,7.5
"\left( \frac { i \epsilon _ { \mu \lambda \alpha } p _ { \lambda } } { p ^ { 2 } } \right) \left( \frac { i \alpha \epsilon _ { \alpha \sigma \beta } p _ { \sigma } } { \sqrt { p ^ { 2 } } } \right) \left( \frac { i \epsilon _ { \beta \kappa \nu } p _ { \kappa } } { p ^ { 2 } } \right) = \frac { i \alpha \epsilon _ { \mu \lambda \nu } p _ { \lambda } } { \left( p ^ { 2 } \right) ^ { 3 / 2 } } \, .",4c81fc7a3e.png,400,114,384,64,6.0
"\begin{array} { l } { H \left\vert \begin{array} { c } { E , \left[ n \right] } \\ { \left[ q \right] } \\ \end{array} \right> = E \left\vert \begin{array} { c } { E , \left[ n \right] } \\ { \left[ q \right] } \\ \end{array} \right> , } \\ { { U } _ { k } \left\vert \begin{array} { c } { E , \left[ n \right] } \\ { \left[ q \right] } \\ \end{array} \right> = \left( n _ { k } + p _ { k } ^ { \mathrm { m i n } } \right) \left\vert \begin{array} { c } { E , \left[ n \right] } \\ { \left[ q \right] } \\ \end{array} \right> , \quad k = 1 , \ldots , N - 1 , } \\ \end{array}",636c287df7.png,575,141,480,128,3.75
"\psi _ { m } ^ { \alpha } ( x ^ { i } , t ) = e _ { m } ^ { ( \mu ) } \sigma _ { ( \mu ) } ^ { \alpha \dot { \beta } } \bar { \lambda } _ { \dot { \beta } } ( x ^ { i } ) \bar { \lambda } ( t ) , \qquad \bar { \psi } _ { m } ^ { \dot { \alpha } } ( x ^ { i } , t ) = e _ { m } ^ { ( \mu ) } \sigma _ { ( \mu ) } ^ { \dot { \alpha } \beta } \lambda _ { \beta } ( x ^ { i } ) \lambda ( t ) ,",33fae67777.png,389,140,480,64,7.5
\left( \begin{array} { c } { \{ M _ { A q } ^ { f } \} ^ { Y ^ { 1 } q } } \\ { \{ M _ { A q } ^ { f } \} ^ { Y ^ { 2 } q } } \\ \end{array} \right) = \left( \begin{array} { c c } { 0 } & { i } \\ { - i } & { 0 } \\ \end{array} \right) \left( \begin{array} { c } { \{ M _ { A q } ^ { b } \} ^ { Y ^ { 1 } q } } \\ { \{ M _ { A q } ^ { b } \} ^ { Y ^ { 2 } q } } \\ \end{array} \right) .,609092f49b.png,386,137,384,64,6.0
"\Xi _ { 1 } ( \kappa ) = \operatorname* { l i m } _ { N \to \infty } \mu _ { 1 , N } ^ { 1 1 } ( \kappa ) = \operatorname* { l i m } _ { N \to \infty } \left[ \frac { \operatorname { s i n h } \frac { \pi \kappa } { 2 } } { \operatorname { s i n h } \frac { \pi N \kappa } { 4 } } \, e ^ { \frac { \pi N \kappa } { 4 } } - e ^ { \frac { \pi \kappa } { 2 } } \right] = - e ^ { - \frac { \pi | \kappa | } { 2 } } .",3858e5fa51.png,412,132,480,64,7.5
"\langle \zeta ^ { \prime } | p _ { \mu } | \zeta ^ { \prime \prime } \rangle = - i \hbar \frac { \partial } { \partial \eta ^ { \prime \prime } { } ^ { \mu } } \langle \zeta ^ { \prime } | \zeta ^ { \prime \prime } \rangle + \frac { \partial F ( \zeta ^ { \prime \prime } ) } { \partial \eta ^ { \prime \prime } { } ^ { \mu } } \langle \zeta ^ { \prime } | \zeta ^ { \prime \prime } \rangle \, ,",1abd920bac.png,395,102,384,64,6.0
"\delta _ { \theta } \Phi ^ { \alpha _ { 2 a } } \approx \left\{ \begin{array} { l } { D _ { \; \; \beta _ { L } } ^ { \alpha _ { L } } \theta ^ { \beta _ { L } } , \; \mathrm { f o r } \; L \; \mathrm { e v e n } , } \\ { D _ { \; \; \beta _ { L + 1 } } ^ { \alpha _ { L + 1 } } \theta ^ { \beta _ { L + 1 } } , \; \; \mathrm { f o r } \; L \; \mathrm { o d d } . } \\ \end{array} \right.",5552527dcc.png,388,129,320,64,5.0
"g _ { \mu \nu } = \left( \begin{array} { c c c c } { - N ^ { 2 } } & { } & { 0 } & { } \\ { 0 } & { } & { \frac { 1 } { 8 } e ^ { 2 \alpha } \chi _ { i A B } \chi _ { j } ^ { A B } } & { } \\ \end{array} \right) = \left( \begin{array} { c c c c } { - N ^ { 2 } } & { } & { 0 } & { } \\ { 0 } & { } & { e ^ { 2 \alpha } \chi _ { i } ^ { I } \chi _ { I j } } & { } \\ \end{array} \right) ,",7ef9f03974.png,387,144,480,128,3.75
"\left\{ \begin{array} { c c l } { x } & { = } & { \sqrt { r ^ { 2 } + \alpha ^ { 2 } } \ \operatorname { s i n } { \theta } \operatorname { c o s } { \varphi } \, , } \\ { y } & { = } & { \sqrt { r ^ { 2 } + \alpha ^ { 2 } } \ \operatorname { s i n } { \theta } \operatorname { s i n } { \varphi } \, , } \\ { z } & { = } & { r \operatorname { c o s } { \theta } \, . } \\ \end{array} \right.",2f96e1f9a3.png,392,124,480,128,3.75
"i \frac { \partial } { \partial t } \langle \vec { q } \, ^ { \prime } , t \mid \vec { q } , 0 \rangle = - \frac { 1 } { 2 } \sum _ { \nu = 1 } ^ { 3 } \frac { \partial ^ { 2 } } { \partial q _ { \nu } ^ { 2 } } \langle \vec { q } \, ^ { \prime } , t \mid \vec { q } , 0 \rangle + V ( \vec { q } \, ^ { \prime } ) \langle \vec { q } \, ^ { \prime } , t \mid \vec { q } , 0 \rangle",6f812e6f00.png,380,122,480,64,7.5
"d V - V \wedge V = 0 \, , \, \, \, \, \Rightarrow \, \, \left\{ \begin{array} { l c l } { d e ^ { a } - \vartheta ^ { i } \wedge e ^ { b } f _ { i b } { } ^ { a } } & { = } & { 0 \, , } \\ { d \vartheta ^ { i } - \frac { 1 } { 2 } \vartheta ^ { j } \wedge \vartheta ^ { k } f _ { j k } { } ^ { i } - \frac { 1 } { 2 } e ^ { a } \wedge e ^ { b } f _ { a b } { } ^ { i } } & { = } & { 0 \, . } \\ \end{array} \right.",42d896559d.png,414,150,480,128,3.75
g _ { - } = \left( \begin{array} { c c } { 1 } & { 0 } \\ { \frac { x _ { - } } { \sqrt { 2 } } } & { 1 } \\ \end{array} \right) \; \; \; \; \; \; g _ { 0 } = \left( \begin{array} { c c } { e ^ { \frac { x } { 2 } } } & { 0 } \\ { 0 } & { e ^ { - \frac { x } { 2 } } } \\ \end{array} \right) \; \; \; \; \; \; g _ { + } = \left( \begin{array} { c c } { 1 } & { \frac { x _ { + } } { \sqrt { 2 } } } \\ { 0 } & { 1 } \\ \end{array} \right) .,39834d850c.png,440,150,480,64,7.5
"T ( \vec { k ^ { \prime } } , n ^ { \prime } ; \vec { k } , n ) = \frac { - 1 } { 8 \pi ^ { 2 } } \int d \vec { x ^ { \prime } } \int _ { o } ^ { 2 \pi } d \phi ^ { \prime } e ^ { - i \vec { k ^ { \prime } } . \vec { x ^ { \prime } } } e ^ { - i n ^ { \prime } \phi ^ { \prime } } V ( x ^ { \prime } , \phi ^ { \prime } ) \Psi _ { \vec { k } , \vec { n } } ( x ^ { \prime } , \phi ^ { \prime } ) ,",4b36c6fb36.png,397,144,480,64,7.5
"\Gamma _ { c } = \left( \begin{array} { c c c } { \displaystyle { \gamma _ { c b } ^ { a } } } & { \displaystyle { { \frac { 1 } { 2 } T _ { g } ^ { a } { _ c } } } } \\ { \displaystyle { - \frac { { \dot { g } } _ { a c } } { \operatorname { s i n } ^ { 2 } \theta } } } & { \displaystyle { \mathrm { c o t } \theta \partial _ { c } \theta } } \\ \end{array} \right) _ { a , b , c , = 1 \cdots M }",3f61c8a95d.png,398,125,480,128,3.75
"\operatorname* { l i m } _ { \theta \to 1 } \Bigl ( \Omega , S _ { \theta ( { \cal L } _ { 0 } + \epsilon { \cal L } _ { 1 } ) } ( \lambda f ) \Omega \Bigr ) = \operatorname* { l i m } _ { \theta \to 1 } \frac { \Bigl ( \Omega , S _ { \theta { \cal L } _ { 0 } } ( \theta \epsilon { \cal L } _ { 1 } + \lambda f ) \Omega \Bigr ) } { \Bigl ( \Omega , S _ { \theta { \cal L } _ { 0 } } ( \theta \epsilon { \cal L } _ { 1 } ) \Omega \Bigr ) }",3dd0516997.png,439,133,480,64,7.5
